Date,Course,Miles,Time,Climb FT,Effort,Notes,digitime,Min/mile,Pace Delta,Delta,WAVA,Median,Pts (All) 100 is best,# All,All,Pts (Male),Pts (Cat),# Male,Male,Cat,# Cat,Cat,# Kingstone,Kingstone
30-Sep-84,Calderdale Half Marathon 1984,13.106855,1:41:23,200,,,101.4,7.7,,-0.31 ,58.44%,,,,,,,,,,,,,
02-Oct-85,Newbury,13.106855,1:45:18,200,,,105.3,8.0,,,56.21%,,,,,,,,,,,,,
15-Oct-86,Newbury,13.106855,1:55:00,200,,,115.0,8.8,,,51.49%,,,,,,,,,,,,,
15-Feb-87,"Tromso, Norway",13.106855,2:00:00,200,,Estimate,120.0,9.2,,,58.79%,,,,,,,,,,,,,
15-Oct-87,Newbury,13.106855,1:40:44,200,,,100.7,7.7,,,58.79%,,,,,,,,,,,,,
07-Oct-90,Great South Run - Southampton,10.000000,1:12:44,150,,,72.7,7.3,,,61.02%,,,,,,,742,,,,,,
06-Sep-14,Bradford Parkrun,3.106855,0:27:14,131,,,,,,,,,,,,,,,,,,,,
06-Sep-14,Bradford Parkrun,3.106855,0:26:30,131,,,,,,,,,,,,,,,,,,,,
30-Nov-14,Peco 1 Crossgates,4.920000,0:48:18,259,0,,48.3,9.8,,,51.32%,,29,498,699,9.501187648,11.26760563,381,421,M50,63,71,,
04-Jan-15,Peco 3 West Park,4.737500,0:45:00,203,0,,45.0,9.5,,,53.07%,,30,477,683,14.18269231,23.07692308,357,416,M50,50,65,,
08-Feb-15,Peco 4 Bodington Fields,4.200000,0:38:30,230,0,,38.5,9.2,,,54.96%,,28,396,548,12.95180723,16.94915254,289,332,M50,49,59,,
01-Mar-15,Peco 5 Roundhay,4.200000,0:40:30,292,0,,40.5,9.6,,,52.25%,,29,434,610,10.95505618,10.71428571,317,356,M50,50,56,,
05-Apr-15,Guiseley Gallop 10K,6.213710,0:59:57,545,0,,60.0,9.7,,1.33 ,52.47%,,44,347,615,26.43051771,26.66666667,270,367,M50,33,45,,
03-May-15,Bluebell Trail,11.000000,1:58:07,1401,0,,118.1,10.7,,0.29 ,48.15%,,45,222,404,24.53703704,21.875,163,216,M50,25,32,,
